Plot,Site,SmpleID,GenetID,TreeID,UTM_X,UTM_Y
Plot 1,xeric,VES-050,VES-1-01,P1-T041,674389.2367,5636237.58
Plot 1,xeric,VES-051,VES-1-01,P1-T036,674389.1554,5636236.554
Plot 1,xeric,VES-052,VES-1-01,P1-U003,674388.1888,5636237.728
Plot 1,xeric,VES-053,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-054,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-055,VES-1-01,P1-T079,674388.3412,5636236.5
Plot 1,xeric,VES-056,VES-1-01,P1-T041,674388.3412,5636236.5
Plot 1,xeric,VES-057,VES-1-01,P1-T041,674388.4232,5636235.321
Plot 1,xeric,VES-058,VES-1-01,P1-T035,674388.3773,5636236.699
Plot 1,xeric,VES-059,VES-1-01,P1-T038,674389.4761,5636236.888
Plot 1,xeric,VES-060,VES-1-01,P1-T041,674388.3845,5636236.383
Plot 1,xeric,VES-061,VES-1-01,P1-T041,674388.3008,5636236.384
Plot 1,xeric,VES-062,VES-1-01,P1-T041,674388.177,5636236.738
Plot 1,xeric,VES-063,VES-1-01,P1-T041,674388.177,5636236.738
Plot 1,xeric,VES-064,VES-1-01,P1-T038,674388.177,5636236.738
Plot 1,xeric,VES-065,VES-1-01,P1-T041,674388.5081,5636235.113
Plot 1,xeric,VES-066,VES-1-02,P1-T048,674388.413,5636232.546
Plot 1,xeric,VES-067,VES-1-03,P1-T041,674387.725,5636234.112
Plot 1,xeric,VES-068,VES-1-03,P1-T048,674387.897,5636232.588
Plot 1,xeric,VES-069,VES-1-04,P1-T019,674396.061,5636240.687
Plot 1,xeric,VIN-001,VIN-1-01,P1-T001,674389.4123,5636241.466
Plot 1,xeric,VIN-002,VIN-1-01,P1-T023,674389.0152,5636242.264
Plot 1,xeric,VIN-003,VIN-1-01,P1-T033,674388.867,5636242.191
Plot 1,xeric,VIN-004,VIN-1-01,P1-T057,674388.851,5636241.986
Plot 1,xeric,VIN-005,VIN-1-01,P1-T026,674388.803,5636241.894
Plot 1,xeric,VIN-006,VIN-1-01,P1-T026,674387.178,5636242.443
Plot 1,xeric,VIN-007,VIN-1-02,P1-T080,674392.662,5636236.835
